fips_code,county,Year,total,dem,gop,oth
01001,Autauga County,2008,23641,6093,17403,145
01001,Autauga County,2012,23909,6354,17366,189
01001,Autauga County,2016,24661,5908,18110,643
01003,Baldwin County,2008,81413,19386,61271,756
01003,Baldwin County,2012,84988,18329,65772,887
01003,Baldwin County,2016,94090,18409,72780,2901
01005,Barbour County,2008,11630,5697,5866,67
01005,Barbour County,2012,11459,5873,5539,47
01005,Barbour County,2016,10390,4848,5431,111
01007,Bibb County,2008,8644,2299,6262,83
01007,Bibb County,2012,8391,2200,6131,60
01007,Bibb County,2016,8748,1874,6733,141
01009,Blount County,2008,24267,3522,20389,356
01009,Blount County,2012,23980,2961,20741,278
01009,Blount County,2016,25384,2150,22808,426
01011,Bullock County,2008,5415,4011,1391,13
01011,Bullock County,2012,5318,4058,1250,10
01011,Bullock County,2016,4701,3530,1139,32
01013,Butler County,2008,9709,4188,5485,36
01013,Butler County,2012,9483,4367,5081,35
01013,Butler County,2016,8685,3716,4891,78
01015,Calhoun County,2008,49242,16334,32348,560
01015,Calhoun County,2012,46240,15500,30272,468
01015,Calhoun County,2016,47376,13197,32803,1376
01017,Chambers County,2008,14956,6799,8067,90
01017,Chambers County,2012,14562,6853,7596,113
01017,Chambers County,2016,13778,5763,7803,212
01019,Cherokee County,2008,9745,2306,7298,141
01019,Cherokee County,2012,9761,2126,7494,141
01019,Cherokee County,2016,10503,1524,8809,170
01021,Chilton County,2008,17785,3674,13960,151
01021,Chilton County,2012,17434,3391,13910,133
01021,Chilton County,2016,18255,2909,15068,278
01023,Choctaw County,2008,7894,3636,4223,35
01023,Choctaw County,2012,7965,3785,4150,30
01023,Choctaw County,2016,7268,3109,4102,57
01025,Clarke County,2008,13435,5914,7466,55
01025,Clarke County,2012,13827,6317,7463,47
01025,Clarke County,2016,12936,5712,7109,115
01027,Clay County,2008,6819,1760,4984,75
01027,Clay County,2012,6640,1770,4802,68
01027,Clay County,2016,6572,1234,5230,108
01029,Cleburne County,2008,6492,1168,5216,108
01029,Cleburne County,2012,6302,971,5269,62
01029,Cleburne County,2016,6532,684,5738,110
01031,Coffee County,2008,20128,5079,14919,130
01031,Coffee County,2012,19715,4899,14638,178
01031,Coffee County,2016,20513,4194,15825,494
01033,Colbert County,2008,24843,9703,14739,401
01033,Colbert County,2012,23374,9160,13931,283
01033,Colbert County,2016,24626,7296,16718,612
01035,Conecuh County,2008,6943,3429,3470,44
01035,Conecuh County,2012,7013,3551,3434,28
01035,Conecuh County,2016,6543,3069,3413,61
01037,Coosa County,2008,5563,2273,3248,42
01037,Coosa County,2012,5243,2188,3028,27
01037,Coosa County,2016,5223,1780,3376,67
01039,Covington County,2008,15787,3240,12444,103
01039,Covington County,2012,15415,3155,12148,112
01039,Covington County,2016,15818,2379,13222,217
01041,Crenshaw County,2008,6291,1938,4319,34
01041,Crenshaw County,2012,6411,2048,4326,37
01041,Crenshaw County,2016,6252,1663,4511,78
01043,Cullman County,2008,35305,5864,28896,545
01043,Cullman County,2012,33178,4855,27930,393
01043,Cullman County,2016,37278,3730,32734,814
01045,Dale County,2008,19320,5270,13886,164
01045,Dale County,2012,18551,5283,13105,163
01045,Dale County,2016,18617,4408,13798,411
01047,Dallas County,2008,20852,13986,6798,68
01047,Dallas County,2012,20936,14599,6284,53
01047,Dallas County,2016,18730,12826,5784,120
01049,DeKalb County,2008,24015,5658,17957,400
01049,DeKalb County,2012,23842,5235,18316,291
01049,DeKalb County,2016,26086,3682,21779,625
01051,Elmore County,2008,34315,8301,25777,237
01051,Elmore County,2012,35440,8940,26223,277
01051,Elmore County,2016,36905,8436,27619,850
